3.309797e+01,3.305719e+01,3.301641e+01,3.307079e+01,3.304360e+01,3.289395e+01,3.285310e+01,3.301641e+01,3.300281e+01,3.304360e+01,3.311155e+01,3.312514e+01,3.320661e+01,3.312514e+01,3.305719e+01,3.309797e+01,3.297561e+01,3.298921e+01,3.301641e+01,3.297561e+01,3.300281e+01,3.300281e+01,3.301641e+01,3.304360e+01,3.294839e+01,3.304360e+01,3.319304e+01,3.307079e+01,3.301641e+01,3.304360e+01,3.300281e+01,3.300281e+01,3.309797e+01,3.307079e+01,3.301641e+01,3.307079e+01,3.305719e+01,3.301641e+01,3.303001e+01,3.303001e+01,3.305719e+01,3.308438e+01,3.304360e+01,3.303001e+01,3.309797e+01,3.313872e+01,3.311155e+01,3.311155e+01,3.305719e+01,3.307079e+01,3.305719e+01,3.304360e+01,3.305719e+01,3.309797e+01,3.312514e+01,3.311155e+01,3.311155e+01,3.307079e+01,3.315230e+01,3.316588e+01,3.315230e+01,3.309797e+01,3.298921e+01,3.307079e+01,3.304360e+01,3.301641e+01,3.304360e+01,3.305719e+01,3.305719e+01,3.307079e+01,3.305719e+01,3.304360e+01,3.307079e+01,3.308438e+01,3.308438e+01,3.305719e+01,3.301641e+01,3.300281e+01,3.294839e+01,3.296200e+01,3.294839e+01,3.293479e+01,3.298921e+01,3.297561e+01,3.298921e+01,3.297561e+01,3.301641e+01,3.304360e+01,3.308438e+01,3.309797e+01,3.307079e+01,3.303001e+01,3.312514e+01,3.305719e+01,3.307079e+01,3.298921e+01
3.305719e+01,3.304360e+01,3.303001e+01,3.308438e+01,3.301641e+01,3.292118e+01,3.292118e+01,3.300281e+01,3.303001e+01,3.303001e+01,3.311155e+01,3.311155e+01,3.311155e+01,3.307079e+01,3.301641e+01,3.308438e+01,3.303001e+01,3.301641e+01,3.305719e+01,3.300281e+01,3.301641e+01,3.303001e+01,3.301641e+01,3.298921e+01,3.300281e+01,3.301641e+01,3.307079e+01,3.303001e+01,3.300281e+01,3.304360e+01,3.301641e+01,3.301641e+01,3.307079e+01,3.304360e+01,3.309797e+01,3.308438e+01,3.305719e+01,3.304360e+01,3.304360e+01,3.304360e+01,3.307079e+01,3.307079e+01,3.305719e+01,3.303001e+01,3.300281e+01,3.300281e+01,3.303001e+01,3.309797e+01,3.307079e+01,3.311155e+01,3.305719e+01,3.305719e+01,3.307079e+01,3.311155e+01,3.309797e+01,3.300281e+01,3.303001e+01,3.301641e+01,3.315230e+01,3.312514e+01,3.312514e+01,3.307079e+01,3.293479e+01,3.305719e+01,3.305719e+01,3.304360e+01,3.307079e+01,3.307079e+01,3.305719e+01,3.307079e+01,3.303001e+01,3.304360e+01,3.307079e+01,3.307079e+01,3.307079e+01,3.309797e+01,3.305719e+01,3.301641e+01,3.298921e+01,3.301641e+01,3.303001e+01,3.294839e+01,3.294839e+01,3.298921e+01,3.303001e+01,3.307079e+01,3.312514e+01,3.316588e+01,3.311155e+01,3.308438e+01,3.301641e+01,3.297561e+01,3.312514e+01,3.300281e+01,3.305719e+01,3.305719e+01
3.290757e+01,3.298921e+01,3.307079e+01,3.303001e+01,3.296200e+01,3.294839e+01,3.298921e+01,3.303001e+01,3.303001e+01,3.301641e+01,3.307079e+01,3.311155e+01,3.307079e+01,3.307079e+01,3.304360e+01,3.300281e+01,3.294839e+01,3.301641e+01,3.305719e+01,3.305719e+01,3.301641e+01,3.303001e+01,3.300281e+01,3.301641e+01,3.301641e+01,3.297561e+01,3.298921e+01,3.301641e+01,3.300281e+01,3.303001e+01,3.301641e+01,3.297561e+01,3.307079e+01,3.305719e+01,3.308438e+01,3.307079e+01,3.307079e+01,3.305719e+01,3.305719e+01,3.307079e+01,3.305719e+01,3.305719e+01,3.308438e+01,3.308438e+01,3.307079e+01,3.300281e+01,3.303001e+01,3.311155e+01,3.307079e+01,3.309797e+01,3.304360e+01,3.307079e+01,3.301641e+01,3.298921e+01,3.297561e+01,3.294839e+01,3.298921e+01,3.296200e+01,3.307079e+01,3.309797e+01,3.304360e+01,3.305719e+01,3.300281e+01,3.300281e+01,3.296200e+01,3.305719e+01,3.308438e+01,3.309797e+01,3.308438e+01,3.315230e+01,3.313872e+01,3.307079e+01,3.303001e+01,3.305719e+01,3.307079e+01,3.308438e+01,3.309797e+01,3.309797e+01,3.305719e+01,3.305719e+01,3.309797e+01,3.304360e+01,3.303001e+01,3.313872e+01,3.316588e+01,3.315230e+01,3.313872e+01,3.311155e+01,3.307079e+01,3.311155e+01,3.303001e+01,3.303001e+01,3.309797e+01,3.297561e+01,3.301641e+01,3.301641e+01
3.292118e+01,3.301641e+01,3.304360e+01,3.298921e+01,3.297561e+01,3.296200e+01,3.300281e+01,3.305719e+01,3.304360e+01,3.303001e+01,3.303001e+01,3.307079e+01,3.308438e+01,3.309797e+01,3.307079e+01,3.297561e+01,3.301641e+01,3.304360e+01,3.304360e+01,3.307079e+01,3.304360e+01,3.301641e+01,3.301641e+01,3.303001e+01,3.300281e+01,3.297561e+01,3.297561e+01,3.303001e+01,3.304360e+01,3.305719e+01,3.307079e+01,3.303001e+01,3.309797e+01,3.311155e+01,3.305719e+01,3.307079e+01,3.307079e+01,3.304360e+01,3.307079e+01,3.308438e+01,3.304360e+01,3.303001e+01,3.305719e+01,3.307079e+01,3.304360e+01,3.307079e+01,3.311155e+01,3.305719e+01,3.311155e+01,3.311155e+01,3.305719e+01,3.300281e+01,3.297561e+01,3.298921e+01,3.298921e+01,3.300281e+01,3.303001e+01,3.292118e+01,3.297561e+01,3.301641e+01,3.300281e+01,3.303001e+01,3.303001e+01,3.300281e+01,3.296200e+01,3.308438e+01,3.308438e+01,3.312514e+01,3.309797e+01,3.313872e+01,3.322018e+01,3.309797e+01,3.301641e+01,3.305719e+01,3.307079e+01,3.305719e+01,3.311155e+01,3.312514e+01,3.308438e+01,3.305719e+01,3.307079e+01,3.307079e+01,3.311155e+01,3.320661e+01,3.317946e+01,3.308438e+01,3.311155e+01,3.301641e+01,3.303001e+01,3.312514e+01,3.308438e+01,3.309797e+01,3.309797e+01,3.300281e+01,3.300281e+01,3.300281e+01
3.300281e+01,3.297561e+01,3.294839e+01,3.296200e+01,3.300281e+01,3.294839e+01,3.289395e+01,3.298921e+01,3.303001e+01,3.311155e+01,3.307079e+01,3.308438e+01,3.309797e+01,3.311155e+01,3.309797e+01,3.308438e+01,3.309797e+01,3.311155e+01,3.309797e+01,3.307079e+01,3.305719e+01,3.304360e+01,3.300281e+01,3.300281e+01,3.296200e+01,3.293479e+01,3.298921e+01,3.304360e+01,3.307079e+01,3.308438e+01,3.308438e+01,3.313872e+01,3.307079e+01,3.308438e+01,3.311155e+01,3.315230e+01,3.312514e+01,3.305719e+01,3.307079e+01,3.309797e+01,3.307079e+01,3.304360e+01,3.304360e+01,3.301641e+01,3.296200e+01,3.298921e+01,3.308438e+01,3.296200e+01,3.303001e+01,3.309797e+01,3.304360e+01,3.303001e+01,3.297561e+01,3.305719e+01,3.319304e+01,3.303001e+01,3.312514e+01,3.307079e+01,3.303001e+01,3.290757e+01,3.300281e+01,3.296200e+01,3.300281e+01,3.304360e+01,3.313872e+01,3.312514e+01,3.319304e+01,3.312514e+01,3.307079e+01,3.300281e+01,3.307079e+01,3.298921e+01,3.296200e+01,3.303001e+01,3.305719e+01,3.303001e+01,3.305719e+01,3.308438e+01,3.307079e+01,3.304360e+01,3.304360e+01,3.304360e+01,3.305719e+01,3.307079e+01,3.301641e+01,3.304360e+01,3.313872e+01,3.316588e+01,3.313872e+01,3.311155e+01,3.300281e+01,3.311155e+01,3.311155e+01,3.300281e+01,3.300281e+01,3.297561e+01
,3.296200e+01,3.296200e+01,3.298921e+01,3.298921e+01,3.294839e+01,3.290757e+01,3.294839e+01,3.300281e+01,3.311155e+01,3.309797e+01,3.308438e+01,3.304360e+01,3.308438e+01,3.309797e+01,3.309797e+01,3.311155e+01,3.309797e+01,3.312514e+01,3.309797e+01,3.304360e+01,3.308438e+01,3.303001e+01,3.303001e+01,3.297561e+01,3.293479e+01,3.301641e+01,3.305719e+01,3.305719e+01,3.309797e+01,3.308438e+01,3.312514e+01,3.307079e+01,3.307079e+01,3.313872e+01,3.317946e+01,3.317946e+01,3.312514e+01,3.308438e+01,3.307079e+01,3.307079e+01,3.307079e+01,3.304360e+01,3.300281e+01,3.296200e+01,3.298921e+01,3.304360e+01,3.297561e+01,3.298921e+01,3.309797e+01,3.305719e+01,3.311155e+01,3.303001e+01,3.307079e+01,3.322018e+01,3.308438e+01,3.320661e+01,3.317946e+01,3.309797e+01,3.296200e+01,3.303001e+01,3.292118e+01,3.289395e+01,3.301641e+01,3.317946e+01,3.311155e+01,3.326089e+01,3.309797e+01,3.307079e+01,3.307079e+01,3.305719e+01,3.300281e+01,3.297561e+01,3.297561e+01,3.300281e+01,3.300281e+01,3.303001e+01,3.301641e+01,3.303001e+01,3.303001e+01,3.304360e+01,3.305719e+01,3.305719e+01,3.308438e+01,3.307079e+01,3.312514e+01,3.315230e+01,3.315230e+01,3.316588e+01,3.316588e+01,3.311155e+01,3.308438e+01,3.320661e+01,3.303001e+01,3.301641e+01,3.300281e+01
,3.305719e+01,3.298921e+01,3.298921e+01,3.296200e+01,3.297561e+01,3.301641e+01,3.301641e+01,3.301641e+01,3.312514e+01,3.315230e+01,3.308438e+01,3.304360e+01,3.304360e+01,3.309797e+01,3.305719e+01,3.312514e+01,3.311155e+01,3.313872e+01,3.311155e+01,3.307079e+01,3.308438e+01,3.308438e+01,3.307079e+01,3.300281e+01,3.303001e+01,3.307079e+01,3.307079e+01,3.301641e+01,3.312514e+01,3.309797e+01,3.301641e+01,3.305719e+01,3.298921e+01,3.303001e+01,3.308438e+01,3.309797e+01,3.311155e+01,3.307079e+01,3.300281e+01,3.303001e+01,3.304360e+01,3.300281e+01,3.294839e+01,3.294839e+01,3.301641e+01,3.305719e+01,3.305719e+01,3.309797e+01,3.312514e+01,3.311155e+01,3.303001e+01,3.300281e+01,3.303001e+01,3.303001e+01,3.303001e+01,3.305719e+01,3.305719e+01,3.303001e+01,3.309797e+01,3.312514e+01,3.304360e+01,3.303001e+01,3.308438e+01,3.311155e+01,3.308438e+01,3.308438e+01,3.305719e+01,3.305719e+01,3.307079e+01,3.307079e+01,3.304360e+01,3.303001e+01,3.300281e+01,3.298921e+01,3.303001e+01,3.305719e+01,3.301641e+01,3.298921e+01,3.301641e+01,3.301641e+01,3.305719e+01,3.307079e+01,3.305719e+01,3.304360e+01,3.307079e+01,3.311155e+01,3.312514e+01,3.312514e+01,3.309797e+01,3.308438e+01,3.300281e+01,3.297561e+01,3.300281e+01,3.300281e+01,3.296200e+01
,3.305719e+01,3.300281e+01,3.297561e+01,3.296200e+01,3.297561e+01,3.303001e+01,3.304360e+01,3.301641e+01,3.305719e+01,3.312514e+01,3.308438e+01,3.304360e+01,3.305719e+01,3.311155e+01,3.309797e+01,3.312514e+01,3.312514e+01,3.312514e+01,3.307079e+01,3.312514e+01,3.311155e+01,3.309797e+01,3.308438e+01,3.303001e+01,3.309797e+01,3.305719e+01,3.309797e+01,3.303001e+01,3.309797e+01,3.303001e+01,3.298921e+01,3.303001e+01,3.293479e+01,3.297561e+01,3.308438e+01,3.307079e+01,3.307079e+01,3.304360e+01,3.301641e+01,3.304360e+01,3.301641e+01,3.296200e+01,3.296200e+01,3.297561e+01,3.297561e+01,3.303001e+01,3.308438e+01,3.308438e+01,3.309797e+01,3.308438e+01,3.296200e+01,3.297561e+01,3.309797e+01,3.307079e+01,3.304360e+01,3.307079e+01,3.308438e+01,3.309797e+01,3.312514e+01,3.311155e+01,3.313872e+01,3.307079e+01,3.312514e+01,3.309797e+01,3.304360e+01,3.304360e+01,3.308438e+01,3.305719e+01,3.305719e+01,3.308438e+01,3.303001e+01,3.307079e+01,3.303001e+01,3.301641e+01,3.303001e+01,3.305719e+01,3.298921e+01,3.296200e+01,3.301641e+01,3.304360e+01,3.308438e+01,3.308438e+01,3.305719e+01,3.305719e+01,3.309797e+01,3.315230e+01,3.305719e+01,3.300281e+01,3.307079e+01,3.311155e+01,3.308438e+01,3.304360e+01,3.297561e+01,3.286672e+01,
,3.296200e+01,3.300281e+01,3.297561e+01,3.296200e+01,3.298921e+01,3.303001e+01,3.304360e+01,3.300281e+01,3.301641e+01,3.305719e+01,3.301641e+01,3.303001e+01,3.308438e+01,3.309797e+01,3.312514e+01,3.311155e+01,3.308438e+01,3.300281e+01,3.304360e+01,3.308438e+01,3.308438e+01,3.311155e+01,3.307079e+01,3.308438e+01,3.308438e+01,3.298921e+01,3.304360e+01,3.301641e+01,3.300281e+01,3.297561e+01,3.303001e+01,3.303001e+01,3.300281e+01,3.303001e+01,3.308438e+01,3.311155e+01,3.311155e+01,3.305719e+01,3.303001e+01,3.303001e+01,3.300281e+01,3.297561e+01,3.297561e+01,3.304360e+01,3.308438e+01,3.304360e+01,3.304360e+01,3.308438e+01,3.308438e+01,3.309797e+01,3.307079e+01,3.303001e+01,3.309797e+01,3.309797e+01,3.309797e+01,3.309797e+01,3.307079e+01,3.307079e+01,3.311155e+01,3.311155e+01,3.305719e+01,3.304360e+01,3.313872e+01,3.307079e+01,3.304360e+01,3.298921e+01,3.307079e+01,3.307079e+01,3.304360e+01,3.305719e+01,3.301641e+01,3.303001e+01,3.305719e+01,3.298921e+01,3.305719e+01,3.308438e+01,3.301641e+01,3.300281e+01,3.297561e+01,3.297561e+01,3.303001e+01,3.308438e+01,3.307079e+01,3.304360e+01,3.305719e+01,3.304360e+01,3.308438e+01,3.308438e+01,3.309797e+01,3.305719e+01,3.300281e+01,3.304360e+01,3.297561e+01,3.283948e+01,
,,3.304360e+01,3.297561e+01,3.303001e+01,3.305719e+01,3.298921e+01,3.301641e+01,3.303001e+01,3.305719e+01,3.305719e+01,3.304360e+01,3.303001e+01,3.304360e+01,3.307079e+01,3.309797e+01,3.311155e+01,3.303001e+01,3.297561e+01,3.301641e+01,3.303001e+01,3.303001e+01,3.304360e+01,3.300281e+01,3.308438e+01,3.301641e+01,3.303001e+01,3.301641e+01,3.298921e+01,3.298921e+01,3.298921e+01,3.304360e+01,3.301641e+01,3.301641e+01,3.303001e+01,3.305719e+01,3.307079e+01,3.307079e+01,3.305719e+01,3.305719e+01,3.303001e+01,3.300281e+01,3.300281e+01,3.298921e+01,3.308438e+01,3.323375e+01,3.313872e+01,3.300281e+01,3.305719e+01,3.308438e+01,3.307079e+01,3.301641e+01,3.303001e+01,3.308438e+01,3.311155e+01,3.309797e+01,3.304360e+01,3.305719e+01,3.309797e+01,3.311155e+01,3.308438e+01,3.311155e+01,3.308438e+01,3.308438e+01,3.303001e+01,3.307079e+01,3.304360e+01,3.307079e+01,3.307079e+01,3.304360e+01,3.301641e+01,3.304360e+01,3.303001e+01,3.307079e+01,3.293479e+01,3.289395e+01,3.298921e+01,3.304360e+01,3.305719e+01,3.303001e+01,3.294839e+01,3.296200e+01,3.308438e+01,3.304360e+01,3.297561e+01,3.301641e+01,3.296200e+01,3.301641e+01,3.301641e+01,3.304360e+01,3.307079e+01,3.308438e+01,3.307079e+01,3.307079e+01,3.311155e+01,
,,3.313872e+01,3.305719e+01,3.308438e+01,3.308438e+01,3.297561e+01,3.298921e+01,3.301641e+01,3.300281e+01,3.297561e+01,3.307079e+01,3.303001e+01,3.300281e+01,3.298921e+01,3.307079e+01,3.305719e+01,3.300281e+01,3.308438e+01,3.303001e+01,3.298921e+01,3.298921e+01,3.301641e+01,3.296200e+01,3.308438e+01,3.300281e+01,3.308438e+01,3.312514e+01,3.305719e+01,3.301641e+01,3.297561e+01,3.303001e+01,3.300281e+01,3.298921e+01,3.305719e+01,3.311155e+01,3.307079e+01,3.305719e+01,3.307079e+01,3.307079e+01,3.304360e+01,3.303001e+01,3.301641e+01,3.300281e+01,3.300281e+01,3.307079e+01,3.309797e+01,3.301641e+01,3.303001e+01,3.312514e+01,3.307079e+01,3.311155e+01,3.309797e+01,3.303001e+01,3.308438e+01,3.308438e+01,3.303001e+01,3.307079e+01,3.307079e+01,3.307079e+01,3.305719e+01,3.311155e+01,3.305719e+01,3.307079e+01,3.303001e+01,3.305719e+01,3.304360e+01,3.301641e+01,3.304360e+01,3.304360e+01,3.304360e+01,3.303001e+01,3.298921e+01,3.305719e+01,3.307079e+01,3.300281e+01,3.303001e+01,3.305719e+01,3.307079e+01,3.307079e+01,3.307079e+01,3.303001e+01,3.304360e+01,3.311155e+01,3.307079e+01,3.296200e+01,3.293479e+01,3.298921e+01,3.301641e+01,3.305719e+01,3.304360e+01,3.303001e+01,3.311155e+01,3.309797e+01,3.312514e+01,
,,3.311155e+01,3.307079e+01,3.305719e+01,3.304360e+01,3.301641e+01,3.298921e+01,3.300281e+01,3.297561e+01,3.296200e+01,3.305719e+01,3.304360e+01,3.301641e+01,3.296200e+01,3.304360e+01,3.298921e+01,3.305719e+01,3.307079e+01,3.304360e+01,3.294839e+01,3.296200e+01,3.303001e+01,3.307079e+01,3.309797e+01,3.313872e+01,3.309797e+01,3.309797e+01,3.308438e+01,3.307079e+01,3.301641e+01,3.305719e+01,3.307079e+01,3.307079e+01,3.303001e+01,3.308438e+01,3.304360e+01,3.304360e+01,3.305719e+01,3.304360e+01,3.307079e+01,3.305719e+01,3.301641e+01,3.300281e+01,3.304360e+01,3.309797e+01,3.307079e+01,3.304360e+01,3.309797e+01,3.307079e+01,3.300281e+01,3.311155e+01,3.309797e+01,3.304360e+01,3.308438e+01,3.311155e+01,3.304360e+01,3.296200e+01,3.303001e+01,3.304360e+01,3.303001e+01,3.311155e+01,3.307079e+01,3.307079e+01,3.309797e+01,3.304360e+01,3.305719e+01,3.301641e+01,3.300281e+01,3.307079e+01,3.303001e+01,3.305719e+01,3.307079e+01,3.305719e+01,3.309797e+01,3.309797e+01,3.301641e+01,3.303001e+01,3.315230e+01,3.311155e+01,3.309797e+01,3.316588e+01,3.304360e+01,3.297561e+01,3.304360e+01,3.298921e+01,3.304360e+01,3.315230e+01,3.300281e+01,3.297561e+01,3.303001e+01,3.304360e+01,3.307079e+01,3.304360e+01,,
,,,3.305719e+01,3.307079e+01,3.307079e+01,3.305719e+01,3.304360e+01,3.303001e+01,3.300281e+01,3.300281e+01,3.304360e+01,3.301641e+01,3.304360e+01,3.301641e+01,3.300281e+01,3.300281e+01,3.303001e+01,3.305719e+01,3.303001e+01,3.298921e+01,3.304360e+01,3.303001e+01,3.304360e+01,3.305719e+01,3.309797e+01,3.308438e+01,3.307079e+01,3.305719e+01,3.305719e+01,3.303001e+01,3.305719e+01,3.305719e+01,3.311155e+01,3.303001e+01,3.303001e+01,3.301641e+01,3.301641e+01,3.296200e+01,3.298921e+01,3.304360e+01,3.301641e+01,3.298921e+01,3.298921e+01,3.301641e+01,3.307079e+01,3.304360e+01,3.294839e+01,3.298921e+01,3.298921e+01,3.298921e+01,3.300281e+01,3.303001e+01,3.309797e+01,3.323375e+01,3.316588e+01,3.307079e+01,3.285310e+01,3.313872e+01,3.311155e+01,3.307079e+01,3.311155e+01,3.305719e+01,3.305719e+01,3.307079e+01,3.304360e+01,3.305719e+01,3.305719e+01,3.300281e+01,3.305719e+01,3.304360e+01,3.315230e+01,3.317946e+01,3.313872e+01,3.312514e+01,3.311155e+01,3.304360e+01,3.307079e+01,3.309797e+01,3.309797e+01,3.311155e+01,3.301641e+01,3.290757e+01,3.301641e+01,3.305719e+01,3.297561e+01,3.301641e+01,3.307079e+01,3.304360e+01,3.298921e+01,3.303001e+01,3.301641e+01,3.303001e+01,3.301641e+01,,
,,,3.312514e+01,3.309797e+01,3.309797e+01,3.311155e+01,3.309797e+01,3.308438e+01,3.303001e+01,3.298921e+01,3.304360e+01,3.300281e+01,3.303001e+01,3.301641e+01,3.298921e+01,3.300281e+01,3.298921e+01,3.304360e+01,3.301641e+01,3.300281e+01,3.303001e+01,3.304360e+01,3.304360e+01,3.304360e+01,3.301641e+01,3.305719e+01,3.307079e+01,3.304360e+01,3.304360e+01,3.305719e+01,3.308438e+01,3.315230e+01,3.316588e+01,3.304360e+01,3.304360e+01,3.304360e+01,3.304360e+01,3.304360e+01,3.300281e+01,3.301641e+01,3.298921e+01,3.297561e+01,3.297561e+01,3.296200e+01,3.297561e+01,3.296200e+01,3.298921e+01,3.300281e+01,3.297561e+01,3.292118e+01,3.296200e+01,3.309797e+01,3.313872e+01,3.323375e+01,3.311155e+01,3.323375e+01,3.308438e+01,3.319304e+01,3.312514e+01,3.307079e+01,3.305719e+01,3.301641e+01,3.308438e+01,3.303001e+01,3.305719e+01,3.308438e+01,3.308438e+01,3.307079e+01,3.307079e+01,3.304360e+01,3.313872e+01,3.311155e+01,3.311155e+01,3.312514e+01,3.307079e+01,3.308438e+01,3.309797e+01,3.307079e+01,3.305719e+01,3.308438e+01,3.300281e+01,3.298921e+01,3.308438e+01,3.311155e+01,3.308438e+01,3.307079e+01,3.305719e+01,3.304360e+01,3.309797e+01,3.308438e+01,3.301641e+01,3.303001e+01,,,
,,,3.308438e+01,3.312514e+01,3.308438e+01,3.305719e+01,3.308438e+01,3.307079e+01,3.304360e+01,3.303001e+01,3.307079e+01,3.301641e+01,3.297561e+01,3.298921e+01,3.296200e+01,3.296200e+01,3.297561e+01,3.300281e+01,3.298921e+01,3.303001e+01,3.305719e+01,3.305719e+01,3.307079e+01,3.309797e+01,3.308438e+01,3.298921e+01,3.305719e+01,3.304360e+01,3.300281e+01,3.304360e+01,3.303001e+01,3.305719e+01,3.307079e+01,3.305719e+01,3.300281e+01,3.296200e+01,3.301641e+01,3.303001e+01,3.300281e+01,3.301641e+01,3.298921e+01,3.300281e+01,3.300281e+01,3.297561e+01,3.301641e+01,3.301641e+01,3.303001e+01,3.304360e+01,3.303001e+01,3.300281e+01,3.304360e+01,3.304360e+01,3.307079e+01,3.297561e+01,3.298921e+01,3.309797e+01,3.311155e+01,3.311155e+01,3.308438e+01,3.308438e+01,3.307079e+01,3.304360e+01,3.307079e+01,3.278498e+01,3.304360e+01,3.311155e+01,3.307079e+01,3.307079e+01,3.311155e+01,3.315230e+01,3.312514e+01,3.311155e+01,3.312514e+01,3.311155e+01,3.307079e+01,3.307079e+01,3.309797e+01,3.308438e+01,3.312514e+01,3.312514e+01,3.304360e+01,3.304360e+01,3.308438e+01,3.307079e+01,3.301641e+01,3.301641e+01,3.305719e+01,3.303001e+01,3.303001e+01,3.300281e+01,3.294839e+01,3.303001e+01,,,
,,,,3.312514e+01,3.311155e+01,3.305719e+01,3.305719e+01,3.303001e+01,3.303001e+01,3.305719e+01,3.307079e+01,3.296200e+01,3.296200e+01,3.301641e+01,3.297561e+01,3.300281e+01,3.297561e+01,3.300281e+01,3.300281e+01,3.304360e+01,3.305719e+01,3.304360e+01,3.309797e+01,3.312514e+01,3.312514e+01,3.301641e+01,3.303001e+01,3.300281e+01,3.303001e+01,3.304360e+01,3.301641e+01,3.326089e+01,3.317946e+01,3.301641e+01,3.305719e+01,3.300281e+01,3.294839e+01,3.297561e+01,3.300281e+01,3.307079e+01,3.307079e+01,3.301641e+01,3.301641e+01,3.300281e+01,3.301641e+01,3.305719e+01,3.308438e+01,3.309797e+01,3.308438e+01,3.301641e+01,3.300281e+01,3.308438e+01,3.311155e+01,3.307079e+01,3.315230e+01,3.319304e+01,3.315230e+01,3.309797e+01,3.313872e+01,3.315230e+01,3.313872e+01,3.308438e+01,3.303001e+01,3.309797e+01,3.305719e+01,3.311155e+01,3.305719e+01,3.307079e+01,3.315230e+01,3.307079e+01,3.313872e+01,3.312514e+01,3.309797e+01,3.308438e+01,3.309797e+01,3.307079e+01,3.301641e+01,3.297561e+01,3.296200e+01,3.300281e+01,3.298921e+01,3.301641e+01,3.304360e+01,3.301641e+01,3.300281e+01,3.300281e+01,3.297561e+01,3.297561e+01,3.294839e+01,3.297561e+01,3.294839e+01,3.298921e+01,,,
,,,,3.304360e+01,3.304360e+01,3.303001e+01,3.303001e+01,3.304360e+01,3.303001e+01,3.298921e+01,3.297561e+01,3.297561e+01,3.294839e+01,3.298921e+01,3.303001e+01,3.309797e+01,3.304360e+01,3.305719e+01,3.304360e+01,3.311155e+01,3.305719e+01,3.305719e+01,3.317946e+01,3.316588e+01,3.312514e+01,3.308438e+01,3.304360e+01,3.303001e+01,3.305719e+01,3.308438e+01,3.307079e+01,3.308438e+01,3.304360e+01,3.312514e+01,3.312514e+01,3.309797e+01,3.308438e+01,3.315230e+01,3.312514e+01,3.305719e+01,3.307079e+01,3.309797e+01,3.308438e+01,3.303001e+01,3.300281e+01,3.294839e+01,3.293479e+01,3.300281e+01,3.303001e+01,3.301641e+01,3.300281e+01,3.296200e+01,3.304360e+01,3.305719e+01,3.300281e+01,3.308438e+01,3.309797e+01,3.309797e+01,3.308438e+01,3.309797e+01,3.313872e+01,3.315230e+01,3.309797e+01,3.305719e+01,3.304360e+01,3.301641e+01,3.307079e+01,3.305719e+01,3.305719e+01,3.308438e+01,3.309797e+01,3.311155e+01,3.308438e+01,3.305719e+01,3.304360e+01,3.301641e+01,3.303001e+01,3.308438e+01,3.308438e+01,3.308438e+01,3.311155e+01,3.308438e+01,3.307079e+01,3.304360e+01,3.308438e+01,3.309797e+01,3.303001e+01,3.298921e+01,3.298921e+01,3.300281e+01,3.303001e+01,,,,
,,,,,3.298921e+01,3.298921e+01,3.298921e+01,3.300281e+01,3.300281e+01,3.294839e+01,3.293479e+01,3.297561e+01,3.296200e+01,3.303001e+01,3.311155e+01,3.303001e+01,3.316588e+01,3.307079e+01,3.311155e+01,3.308438e+01,3.300281e+01,3.304360e+01,3.317946e+01,3.311155e+01,3.312514e+01,3.309797e+01,3.311155e+01,3.307079e+01,3.331514e+01,3.317946e+01,3.309797e+01,3.308438e+01,3.303001e+01,3.307079e+01,3.307079e+01,3.305719e+01,3.303001e+01,3.308438e+01,3.313872e+01,3.307079e+01,3.311155e+01,3.315230e+01,3.307079e+01,3.307079e+01,3.303001e+01,3.296200e+01,3.293479e+01,3.297561e+01,3.303001e+01,3.301641e+01,3.298921e+01,3.304360e+01,3.297561e+01,3.296200e+01,3.303001e+01,3.308438e+01,3.308438e+01,3.311155e+01,3.317946e+01,3.305719e+01,3.313872e+01,3.313872e+01,3.309797e+01,3.305719e+01,3.301641e+01,3.312514e+01,3.304360e+01,3.316588e+01,3.307079e+01,3.309797e+01,3.308438e+01,3.309797e+01,3.305719e+01,3.301641e+01,3.308438e+01,3.307079e+01,3.317946e+01,3.297561e+01,3.297561e+01,3.309797e+01,3.304360e+01,3.304360e+01,3.304360e+01,3.308438e+01,3.308438e+01,3.303001e+01,3.304360e+01,3.301641e+01,3.307079e+01,3.323375e+01,3.320661e+01,,,,
